testName,thisNode,thisID,thatID,timeDelta,message
ring,node3,1,0,15.816000,message received 3
ring,node4,3,4,16.337000,message sent 5
ring,node4,3,4,16.341000,message sent 6
ring,node4,3,4,16.346001,message sent 7
ring,node4,3,4,16.351000,message sent 8
ring,node3,0,1,15.792000,message sent 3
ring,node3,0,1,15.797000,message sent 4
ring,node3,0,1,15.802000,message sent 5
ring,node4,4,3,16.347000,message received 6
ring,node4,4,3,16.351000,message received 7
ring,node4,4,3,16.356001,message received 8
ring,node4,4,3,16.361000,message received 9
ring,node3,1,0,15.821000,message received 4
ring,node3,1,0,15.826000,message received 5
ring,node3,1,0,15.831000,message received 6
ring,node4,3,4,16.355000,message sent 9
ring,node3,0,1,15.807000,message sent 6
ring,node3,0,1,15.812000,message sent 7
ring,node3,0,1,15.817000,message sent 8
ring,node3,0,1,15.822000,message sent 9
ring,node4,4,5,16.363001,message sent 0
ring,node4,4,5,16.365999,message sent 1
ring,node4,4,5,16.368000,message sent 2
ring,node4,4,5,16.370001,message sent 3
ring,node4,4,5,16.372999,message sent 4
ring,node4,4,5,16.375000,message sent 5
ring,node4,4,5,16.377001,message sent 6
ring,node3,1,0,15.835000,message received 7
ring,node3,1,0,15.840000,message received 8
ring,node3,1,0,15.845000,message received 9
ring,node3,1,2,15.849000,message sent 0
ring,node3,1,2,15.852000,message sent 1
ring,node4,5,4,16.358999,message received 0
ring,node4,5,4,16.365000,message received 1
ring,node4,5,4,16.368999,message received 2
ring,node4,5,4,16.374001,message received 3
ring,node3,1,2,15.855000,message sent 2
ring,node3,1,2,15.859000,message sent 3
ring,node3,1,2,15.862000,message sent 4
ring,node3,1,2,15.865000,message sent 5
ring,node4,4,5,16.379000,message sent 7
ring,node4,4,5,16.382000,message sent 8
ring,node4,4,5,16.384001,message sent 9
ring,node3,2,1,15.839000,message received 0
ring,node3,2,1,15.845000,message received 1
ring,node3,2,1,15.850000,message received 2
ring,node3,2,1,15.856000,message received 3
ring,node4,5,4,16.378000,message received 4
ring,node4,5,4,16.382999,message received 5
ring,node4,5,4,16.386999,message received 6
ring,node4,5,4,16.392000,message received 7
ring,node3,1,2,15.868000,message sent 6
ring,node3,1,2,15.871000,message sent 7
ring,node3,1,2,15.874000,message sent 8
ring,node3,1,2,15.877000,message sent 9
ring,node4,5,4,16.396000,message received 8
ring,node4,5,4,16.400999,message received 9
ring,node3,2,1,15.861000,message received 4
ring,node3,2,1,15.871000,message received 5
ring,node3,2,1,15.877000,message received 6
ring,node4,5,6,16.406000,message sent 0
ring,node4,5,6,16.410999,message sent 1
ring,node4,5,6,16.415001,message sent 2
ring,node3,2,1,15.883000,message received 7
ring,node3,2,1,15.891000,message received 8
ring,node4,5,6,16.420000,message sent 3
ring,node4,5,6,16.424999,message sent 4
ring,node4,5,6,16.429001,message sent 5
ring,node3,2,1,15.897000,message received 9
ring,node3,2,3,15.903000,message sent 0
ring,node4,5,6,16.434000,message sent 6
ring,node4,5,6,16.438999,message sent 7
ring,node3,2,3,15.909000,message sent 1
ring,node3,2,3,15.914000,message sent 2
ring,node3,2,3,15.920000,message sent 3
ring,node4,5,6,16.443001,message sent 8
ring,node4,5,6,16.448000,message sent 9
ring,node3,2,3,15.925000,message sent 4
ring,node3,2,3,15.931000,message sent 5
ring,node4,3,2,16.572001,message received 0
ring,node3,2,3,15.936000,message sent 6
ring,node3,2,3,15.941000,message sent 7
ring,node3,2,3,15.947000,message sent 8
ring,node4,3,2,16.579000,message received 1
ring,node4,3,2,16.584000,message received 2
ring,node3,2,3,15.952000,message sent 9
ring,node4,3,2,16.590000,message received 3
ring,node4,3,2,16.594999,message received 4
ring,node3,0,5,16.041000,message sent 0
ring,node4,3,2,16.601000,message received 5
ring,node4,3,2,16.607000,message received 6
ring,node4,3,2,16.612000,message received 7
ring,node3,0,5,16.049999,message sent 1
ring,node3,0,5,16.055000,message sent 2
ring,node4,3,2,16.617001,message received 8
ring,node4,3,2,16.622999,message received 9
ring,node3,0,5,16.061001,message sent 3
ring,node3,0,5,16.066000,message sent 4
ring,node3,0,5,16.070999,message sent 5
ring,node4,3,4,16.627001,message sent 0
ring,node4,3,4,16.632000,message sent 1
ring,node3,0,5,16.076000,message sent 6
ring,node3,0,5,16.083000,message sent 7
ring,node4,4,3,16.632000,message received 0
ring,node4,4,3,16.636999,message received 1
ring,node4,4,3,16.642000,message received 2
ring,node3,0,5,16.087999,message sent 8
ring,node3,0,5,16.093000,message sent 9
ring,node4,3,4,16.636999,message sent 2
ring,node4,3,4,16.642000,message sent 3
ring,node4,3,4,16.646000,message sent 4
ring,node3,0,1,16.098000,message sent 0
ring,node3,0,1,16.104000,message sent 1
ring,node3,0,1,16.108000,message sent 2
ring,node4,4,3,16.646999,message received 3
ring,node4,4,3,16.652000,message received 4
ring,node4,4,3,16.656000,message received 5
ring,node4,4,3,16.660999,message received 6
ring,node3,1,0,16.122000,message received 0
ring,node3,1,0,16.127001,message received 1
ring,node3,1,0,16.132000,message received 2
ring,node3,1,0,16.136999,message received 3
ring,node4,3,4,16.650999,message sent 5
ring,node4,3,4,16.656000,message sent 6
ring,node4,3,4,16.660000,message sent 7
ring,node4,3,4,16.665001,message sent 8
ring,node3,0,1,16.113001,message sent 3
ring,node3,0,1,16.118000,message sent 4
ring,node3,0,1,16.122999,message sent 5
ring,node4,4,3,16.665001,message received 7
ring,node4,4,3,16.670000,message received 8
ring,node4,4,3,16.674999,message received 9
ring,node4,4,5,16.677999,message sent 0
ring,node3,1,0,16.142000,message received 4
ring,node3,1,0,16.146999,message received 5
ring,node3,1,0,16.152000,message received 6
ring,node4,3,4,16.669001,message sent 9
ring,node3,0,1,16.128000,message sent 6
ring,node3,0,1,16.134001,message sent 7
ring,node3,0,1,16.138000,message sent 8
ring,node3,0,1,16.143000,message sent 9
ring,node4,4,5,16.680000,message sent 1
ring,node4,4,5,16.681999,message sent 2
ring,node4,4,5,16.684999,message sent 3
ring,node4,4,5,16.687000,message sent 4
ring,node4,4,5,16.690001,message sent 5
ring,node4,4,5,16.691999,message sent 6
ring,node4,4,5,16.694000,message sent 7
ring,node3,1,0,16.157000,message received 7
ring,node3,1,0,16.162001,message received 8
ring,node3,1,0,16.167000,message received 9
ring,node3,1,2,16.171000,message sent 0
ring,node3,1,2,16.174000,message sent 1
ring,node4,5,4,16.673000,message received 0
ring,node4,5,4,16.680000,message received 1
ring,node4,5,4,16.684000,message received 2
ring,node4,5,4,16.688999,message received 3
ring,node3,1,2,16.177999,message sent 2
ring,node3,1,2,16.181000,message sent 3
ring,node3,1,2,16.184000,message sent 4
ring,node3,1,2,16.187000,message sent 5
ring,node4,4,5,16.697001,message sent 8
ring,node4,4,5,16.698999,message sent 9
ring,node3,2,1,16.160000,message received 0
ring,node3,2,1,16.166000,message received 1
ring,node3,2,1,16.172001,message received 2
ring,node3,2,1,16.177000,message received 3
ring,node4,5,4,16.693001,message received 4
ring,node4,5,4,16.698000,message received 5
ring,node4,5,4,16.702000,message received 6
ring,node4,5,4,16.707001,message received 7
ring,node3,1,2,16.191000,message sent 6
ring,node3,1,2,16.194000,message sent 7
ring,node3,1,2,16.197001,message sent 8
ring,node3,1,2,16.200001,message sent 9
ring,node4,5,4,16.711000,message received 8
ring,node4,5,4,16.716000,message received 9
ring,node4,5,6,16.721001,message sent 0
ring,node3,2,1,16.183001,message received 4
ring,node3,2,1,16.188000,message received 5
ring,node3,2,1,16.194000,message received 6
ring,node4,5,6,16.725000,message sent 1
ring,node4,5,6,16.730000,message sent 2
ring,node3,2,1,16.198999,message received 7
ring,node3,2,1,16.205000,message received 8
ring,node3,2,1,16.209999,message received 9
ring,node4,5,6,16.735001,message sent 3
ring,node4,5,6,16.739000,message sent 4
ring,node4,5,6,16.743999,message sent 5
ring,node3,2,3,16.216000,message sent 0
ring,node3,2,3,16.222000,message sent 1
ring,node4,5,6,16.747999,message sent 6
ring,node4,5,6,16.756001,message sent 7
ring,node3,2,3,16.228001,message sent 2
ring,node3,2,3,16.233000,message sent 3
ring,node4,5,6,16.761000,message sent 8
ring,node4,5,6,16.766001,message sent 9
ring,node3,2,3,16.239000,message sent 4
ring,node3,2,3,16.247000,message sent 5
ring,node3,2,3,16.253000,message sent 6
ring,node4,3,2,16.886000,message received 0
ring,node3,2,3,16.259001,message sent 7
ring,node3,2,3,16.264000,message sent 8
ring,node4,3,2,16.893999,message received 1
ring,node4,3,2,16.899000,message received 2
ring,node4,3,2,16.903000,message received 3
ring,node3,2,3,16.270000,message sent 9
ring,node4,3,2,16.913000,message received 4
ring,node4,3,2,16.917999,message received 5
ring,node4,3,2,16.924000,message received 6
ring,node3,0,5,16.358000,message sent 0
ring,node4,3,2,16.930000,message received 7
